x-box,y-box,width,high,onpix,x-bar,y-bar,x2bar,y2bar,xybar,x2ybr,xy2br,x-ege,xegvy,y-ege,yegvx,lettr
0.267,0.333,0.333,0.267,0.2,0.533,0.467,0.533,0.333,0.467,0.4,0.533,0.133,0.533,0.2,0.533,O
0.533,0.733,0.467,0.4,0.2,0.333,0.667,0.2,0.6,0.867,0.467,0.333,0.133,0.6,0.2,0.267,T
0.333,0.8,0.267,0.4,0.2,0.467,0.467,0.267,0.267,0.667,0.4,0.533,0.2,0.6,0.533,0.667,E
0.4,0.6,0.533,0.467,0.533,0.533,0.467,0.133,0.267,0.6,0.467,0.533,0.533,0.4,0.133,0.533,M
0.267,0.533,0.4,0.4,0.333,0.2,0.533,0.133,0.4,0.667,0.667,0.733,0.2,0.533,0.2,0.4,K
0.333,0.667,0.467,0.467,0.333,0.6,0.467,0.333,0.467,0.667,0.267,0.333,0.2,0.533,0.2,0.533,D
0.2,0.533,0.333,0.4,0.2,0.8,0.133,0.2,0.133,0.667,0.133,0.6,0.133,0.4,0.133,0.533,A
0.267,0.467,0.4,0.333,0.333,0.4,0.4,0.467,0.267,0.4,0.333,0.533,0.2,0.467,0.4,0.667,H
0.333,0.333,0.4,0.533,0.2,0.333,0.467,0.667,0.667,0.467,0.4,0.4,0.2,0.533,0.267,0.533,D
0.267,0.533,0.4,0.4,0.133,0.4,0.533,0.2,0.4,1.0,0.4,0.6,0.067,0.4,0.067,0.467,J
0.4,0.467,0.533,0.333,0.333,0.333,0.6,0.2,0.4,0.667,0.6,0.6,0.267,0.6,0.2,0.467,H
0.467,0.6,0.667,0.467,0.533,0.533,0.467,0.133,0.4,0.667,0.4,0.533,0.2,0.533,0.2,0.467,H
0.2,0.4,0.267,0.267,0.133,0.133,0.733,0.267,0.2,0.733,0.8,0.533,0.133,0.667,0.067,0.533,V
0.333,0.667,0.333,0.467,0.2,0.4,0.733,0.2,0.467,0.733,0.6,0.267,0.133,0.8,0.2,0.267,T
0.2,0.467,0.2,0.333,0.133,0.2,0.533,0.4,0.667,0.467,0.4,0.933,0.0,0.533,0.467,0.533,E
0.267,0.667,0.333,0.467,0.2,0.333,0.733,0.533,0.267,0.467,0.2,0.6,0.2,0.467,0.4,0.733,R
0.133,0.333,0.267,0.267,0.133,0.467,0.467,0.2,0.6,0.4,0.4,0.533,0.133,0.533,0.4,0.533,X
0.2,0.267,0.2,0.2,0.2,0.467,0.533,0.267,0.333,0.4,0.333,0.467,0.133,0.4,0.267,0.533,R
0.4,0.533,0.4,0.4,0.4,0.267,0.6,0.133,0.2,0.6,0.533,0.533,0.467,0.733,0.133,0.4,W
0.133,0.2,0.2,0.067,0.067,0.467,0.6,0.133,0.333,0.867,0.4,0.333,0.067,0.6,0.067,0.533,F
0.267,0.333,0.333,0.467,0.2,0.533,0.4,0.6,0.467,0.4,0.4,0.6,0.2,0.533,0.267,0.533,Q
0.333,0.667,0.533,0.533,0.533,0.533,0.733,0.133,0.2,0.4,0.533,0.533,0.533,0.667,0.067,0.533,W
0.2,0.4,0.333,0.267,0.333,0.533,0.533,0.4,0.4,0.467,0.4,0.4,0.133,0.533,0.4,0.6,B
0.067,0.0,0.133,0.067,0.067,0.533,0.467,0.4,0.267,0.4,0.4,0.6,0.133,0.533,0.2,0.533,Q
0.067,0.067,0.133,0.067,0.067,0.467,0.467,0.8,0.067,0.467,0.4,0.533,0.2,0.533,0.0,0.533,H
0.2,0.067,0.267,0.133,0.133,0.333,0.667,0.267,0.267,0.667,0.533,0.267,0.067,0.6,0.267,0.4,P
0.4,0.733,0.4,0.533,0.267,0.333,0.467,0.667,0.667,0.467,0.4,0.4,0.2,0.533,0.267,0.533,D
0.267,0.533,0.333,0.4,0.267,0.467,0.467,0.333,0.333,0.467,0.4,0.467,0.267,0.533,0.2,0.467,D
0.133,0.2,0.267,0.133,0.133,0.533,0.467,0.2,0.267,0.6,0.267,0.4,0.133,0.467,0.2,0.6,R
0.267,0.133,0.333,0.2,0.2,0.533,0.4,0.4,0.267,0.4,0.467,0.533,0.533,0.4,0.133,0.4,M
0.2,0.333,0.267,0.2,0.133,0.4,0.467,0.467,0.467,0.533,0.467,0.933,0.133,0.6,0.267,0.667,C
0.467,0.733,0.467,0.533,0.267,0.2,0.667,0.133,0.467,0.667,0.8,0.4,0.067,0.733,0.133,0.333,Y
0.467,0.733,0.667,0.533,0.667,0.533,0.467,0.333,0.333,0.4,0.467,0.467,0.733,0.533,0.267,0.4,M
0.2,0.333,0.267,0.267,0.267,0.4,0.467,0.267,0.467,0.467,0.467,0.6,0.2,0.667,0.4,0.533,T
0.133,0.267,0.333,0.133,0.133,0.6,0.467,0.2,0.267,0.667,0.2,0.333,0.333,0.6,0.067,0.467,N
0.2,0.467,0.267,0.333,0.2,0.267,0.267,0.267,0.533,0.133,0.067,0.467,0.267,0.4,0.067,0.4,L
0.2,0.6,0.333,0.4,0.133,0.467,0.4,0.2,0.067,0.4,0.0,0.533,0.133,0.467,0.067,0.467,A
0.2,0.6,0.333,0.467,0.2,0.4,0.333,0.0,0.533,0.6,0.2,0.733,0.0,0.467,0.133,0.533,L
0.267,0.467,0.4,0.333,0.2,0.533,0.467,0.267,0.533,0.733,0.333,0.467,0.133,0.533,0.333,0.533,S
0.0,0.0,0.0,0.067,0.0,0.467,0.467,0.267,0.267,0.467,0.4,0.533,0.0,0.533,0.0,0.533,I
0.333,0.6,0.467,0.533,0.333,0.533,0.6,0.333,0.4,0.533,0.333,0.533,0.2,0.467,0.4,0.733,R
0.267,0.333,0.4,0.533,0.133,0.4,1.0,0.067,0.4,0.467,0.733,0.533,0.0,0.533,0.0,0.533,T
0.2,0.533,0.267,0.4,0.2,0.467,0.533,0.2,0.733,0.533,0.4,0.533,0.0,0.533,0.467,0.467,Z
0.267,0.533,0.4,0.4,0.333,0.467,0.333,0.533,0.333,0.333,0.333,0.333,0.2,0.6,0.2,0.533,D
0.2,0.667,0.267,0.533,0.133,0.0,0.133,0.2,0.4,0.067,0.0,0.533,0.0,0.533,0.0,0.533,L
0.4,0.733,0.333,0.4,0.2,0.667,0.267,0.333,0.4,0.8,0.2,0.667,0.2,0.533,0.467,0.8,Q
0.133,0.467,0.2,0.333,0.067,0.533,0.4,0.0,0.467,0.867,0.4,0.6,0.0,0.533,0.067,0.533,I
0.133,0.067,0.133,0.133,0.067,0.333,0.467,0.533,0.067,0.467,0.4,0.733,0.2,0.533,0.133,0.733,K
0.267,0.467,0.267,0.333,0.2,0.533,0.533,0.8,0.067,0.4,0.4,0.467,0.333,0.533,0.0,0.6,N
0.267,0.4,0.4,0.267,0.2,0.4,0.733,0.267,0.333,0.8,0.467,0.267,0.133,0.6,0.133,0.4,F
0.267,0.6,0.4,0.4,0.533,0.533,0.6,0.333,0.267,0.533,0.467,0.4,0.467,0.667,0.667,0.333,D
0.267,0.467,0.267,0.333,0.133,0.333,0.4,0.667,0.6,0.333,0.333,0.4,0.2,0.533,0.267,0.533,D
0.2,0.4,0.333,0.267,0.333,0.467,0.467,0.2,0.4,0.467,0.467,0.733,0.267,0.6,0.467,0.533,E
0.133,0.0,0.133,0.067,0.067,0.467,0.467,0.8,0.067,0.333,0.4,0.533,0.333,0.533,0.0,0.533,N
0.467,0.733,0.533,0.533,0.267,0.333,0.6,0.067,0.6,0.667,0.667,0.333,0.2,0.667,0.333,0.2,Y
0.4,0.667,0.333,0.333,0.2,0.333,0.333,0.333,0.333,0.267,0.467,0.533,0.333,0.6,0.133,0.467,U
0.267,0.333,0.333,0.2,0.133,0.2,0.533,0.267,0.4,0.733,0.733,0.6,0.2,0.6,0.067,0.4,U
0.333,0.733,0.333,0.4,0.2,0.467,0.267,0.2,0.333,0.733,0.467,0.8,0.2,0.467,0.4,0.533,L
0.067,0.0,0.133,0.067,0.067,0.4,0.667,0.467,0.133,0.467,0.333,0.533,0.133,0.467,0.267,0.667,R
0.467,0.6,0.6,0.533,0.6,0.4,0.467,0.333,0.467,0.4,0.2,0.467,0.333,0.667,0.6,0.333,D
0.267,0.733,0.267,0.533,0.267,0.533,0.4,0.467,0.467,0.467,0.533,0.6,0.133,0.667,0.667,0.467,S
0.067,0.333,0.0,0.467,0.0,0.467,0.467,0.267,0.267,0.467,0.4,0.533,0.0,0.533,0.0,0.533,I
0.2,0.333,0.4,0.267,0.267,0.6,0.4,0.133,0.267,0.6,0.267,0.467,0.533,0.333,0.133,0.533,M
0.267,0.467,0.333,0.333,0.2,0.333,0.533,0.467,0.467,0.533,0.533,0.933,0.067,0.667,0.267,0.667,C
0.467,0.667,0.533,0.533,0.6,0.467,0.333,0.4,0.2,0.467,0.4,0.667,0.333,0.533,0.467,0.533,G
0.267,0.6,0.333,0.467,0.267,0.267,0.6,0.2,0.533,0.667,0.533,0.667,0.133,0.533,0.267,0.4,E
0.267,0.4,0.4,0.267,0.267,0.6,0.6,0.333,0.267,0.467,0.333,0.467,0.2,0.533,0.6,0.333,Z
0.2,0.467,0.267,0.333,0.133,0.533,0.6,0.2,0.067,0.467,0.8,0.533,0.133,0.667,0.0,0.533,V
0.333,0.533,0.467,0.667,0.467,0.533,0.533,0.267,0.333,0.467,0.4,0.533,0.267,0.4,0.6,0.533,J
0.2,0.333,0.267,0.267,0.2,0.467,0.467,0.467,0.267,0.6,0.333,0.533,0.133,0.533,0.133,0.533,O
0.267,0.6,0.4,0.4,0.467,0.467,0.467,0.4,0.4,0.467,0.4,0.467,0.2,0.533,0.2,0.533,H
0.133,0.4,0.2,0.267,0.067,0.467,0.333,0.867,0.333,0.467,0.8,0.533,0.2,0.6,0.0,0.533,U
0.333,0.333,0.467,0.267,0.333,0.533,0.4,0.4,0.333,0.467,0.467,0.533,0.533,0.4,0.133,0.533,M
0.267,0.6,0.4,0.4,0.4,0.467,0.467,0.2,0.533,0.533,0.4,0.6,0.0,0.533,0.733,0.467,Z
0.267,0.6,0.333,0.4,0.2,0.333,0.467,0.4,0.533,0.333,0.467,0.8,0.067,0.467,0.267,0.6,C
0.467,0.733,0.4,0.4,0.2,0.467,0.333,0.267,0.6,0.667,0.267,0.6,0.2,0.4,0.6,0.6,Q
0.067,0.2,0.133,0.133,0.067,0.667,0.4,0.2,0.4,0.8,0.267,0.667,0.0,0.467,0.067,0.533,J
0.267,0.533,0.467,0.4,0.267,0.467,0.667,0.133,0.2,0.467,0.6,0.533,0.533,0.733,0.067,0.533,W
0.333,0.533,0.333,0.4,0.2,0.2,0.667,0.133,0.467,0.733,0.733,0.4,0.067,0.667,0.2,0.267,Y
0.133,0.267,0.333,0.2,0.067,0.467,0.8,0.2,0.2,0.467,0.733,0.533,0.133,0.667,0.067,0.533,V
0.067,0.267,0.133,0.133,0.067,0.467,0.467,0.067,0.467,0.867,0.4,0.533,0.0,0.533,0.067,0.533,I
0.333,0.733,0.533,0.533,0.4,0.467,0.6,0.4,0.333,0.4,0.4,0.467,0.4,0.6,0.067,0.467,N
0.4,0.667,0.6,0.533,0.333,0.267,0.6,0.467,0.6,0.6,0.733,0.667,0.2,0.6,0.067,0.467,U
0.267,0.467,0.4,0.333,0.2,0.467,0.533,0.133,0.667,0.8,0.4,0.533,0.067,0.6,0.4,0.533,Z
0.333,0.6,0.467,0.467,0.4,0.533,0.333,0.733,0.0,0.467,0.6,0.533,0.8,0.267,0.267,0.533,M
0.2,0.333,0.2,0.267,0.133,0.533,0.467,0.467,0.333,0.467,0.4,0.467,0.133,0.533,0.6,0.533,S
0.533,0.533,0.733,0.467,0.8,0.467,0.467,0.333,0.333,0.4,0.333,0.533,0.667,0.6,0.6,0.533,W
0.067,0.2,0.2,0.067,0.067,0.467,0.6,0.267,0.2,0.733,0.333,0.267,0.067,0.6,0.133,0.533,P
0.333,0.6,0.467,0.4,0.4,0.267,0.6,0.2,0.4,0.667,0.667,0.6,0.267,0.6,0.267,0.333,H
0.2,0.133,0.2,0.2,0.133,0.533,0.533,0.467,0.333,0.533,0.333,0.467,0.133,0.533,0.533,0.533,S
0.133,0.267,0.267,0.133,0.133,0.533,0.667,0.133,0.133,0.4,0.6,0.533,0.4,0.733,0.0,0.533,W
0.067,0.4,0.133,0.267,0.133,0.467,0.467,0.067,0.533,0.467,0.4,0.533,0.0,0.533,0.2,0.533,I
0.2,0.667,0.333,0.467,0.133,0.4,0.4,0.2,0.067,0.4,0.0,0.533,0.133,0.467,0.067,0.467,A
0.333,0.467,0.4,0.333,0.4,0.4,0.533,0.267,0.333,0.467,0.4,0.667,0.333,0.533,0.333,0.467,T
0.133,0.2,0.133,0.067,0.133,0.4,0.467,0.267,0.4,0.4,0.4,0.733,0.2,0.533,0.267,0.6,K
0.267,0.467,0.333,0.333,0.133,0.533,0.6,0.067,0.467,0.933,0.333,0.4,0.0,0.533,0.067,0.533,J
0.067,0.2,0.2,0.133,0.067,0.467,0.467,0.133,0.4,0.733,0.4,0.6,0.067,0.533,0.267,0.6,E
0.2,0.267,0.267,0.4,0.2,0.333,0.733,0.533,0.267,0.467,0.133,0.6,0.2,0.467,0.4,0.733,R
0.2,0.333,0.333,0.2,0.2,0.6,0.4,0.267,0.467,0.667,0.267,0.4,0.133,0.533,0.2,0.533,D
0.333,0.6,0.533,0.467,0.467,0.467,0.467,0.333,0.467,0.467,0.4,0.6,0.4,0.533,0.267,0.533,H
0.2,0.4,0.267,0.267,0.2,0.533,0.533,0.467,0.267,0.467,0.467,0.467,0.2,0.533,0.133,0.533,O
0.2,0.4,0.267,0.267,0.067,0.467,0.333,0.867,0.333,0.467,0.933,0.533,0.2,0.6,0.0,0.533,U
0.333,0.467,0.333,0.333,0.2,0.4,0.733,0.133,0.467,0.733,0.6,0.333,0.133,0.733,0.133,0.267,T
0.267,0.533,0.4,0.4,0.333,0.533,0.4,0.133,0.267,0.6,0.4,0.533,0.467,0.4,0.133,0.533,M
0.533,0.6,0.533,0.267,0.2,0.467,0.667,0.2,0.133,0.467,0.667,0.467,0.6,0.8,0.067,0.467,W
0.4,0.667,0.467,0.533,0.267,0.533,0.467,0.267,0.533,0.733,0.467,0.533,0.133,0.6,0.333,0.533,S
0.333,0.8,0.333,0.4,0.2,0.467,0.6,0.133,0.4,0.733,0.4,0.333,0.133,0.6,0.333,0.333,T
0.2,0.467,0.267,0.267,0.2,0.467,0.533,0.2,0.467,0.667,0.333,0.467,0.133,0.467,0.333,0.533,S
0.067,0.0,0.067,0.0,0.0,0.333,0.467,0.467,0.333,0.4,0.4,0.4,0.133,0.533,0.133,0.533,D
0.2,0.533,0.333,0.4,0.2,0.667,0.2,0.133,0.2,0.6,0.067,0.533,0.133,0.4,0.133,0.533,A
0.467,0.6,0.467,0.4,0.2,0.2,0.733,0.333,0.333,0.867,0.733,0.333,0.067,0.733,0.133,0.4,Y
0.333,0.6,0.267,0.267,0.2,0.467,0.533,0.267,0.2,0.533,0.4,0.467,0.2,0.667,0.6,0.467,G
0.2,0.4,0.267,0.4,0.133,0.533,0.4,0.533,0.333,0.4,0.467,0.467,0.2,0.533,0.333,0.6,Q
0.2,0.133,0.333,0.2,0.133,0.4,0.133,0.133,0.067,0.333,0.133,0.533,0.133,0.467,0.2,0.4,A
0.333,0.6,0.467,0.4,0.267,0.667,0.4,0.2,0.533,0.733,0.267,0.4,0.267,0.4,0.2,0.533,D
0.2,0.333,0.333,0.2,0.2,0.6,0.4,0.2,0.4,0.667,0.267,0.467,0.267,0.467,0.4,0.6,B
0.333,0.733,0.4,0.533,0.133,0.267,0.467,0.533,0.133,0.467,0.4,0.733,0.267,0.533,0.133,0.733,K
0.2,0.467,0.333,0.333,0.2,0.4,0.533,0.267,0.067,0.467,0.533,0.533,0.533,0.6,0.0,0.533,W
0.6,0.933,0.467,0.533,0.467,0.6,0.4,0.2,0.467,0.667,0.267,0.467,0.4,0.4,0.6,0.467,D
0.133,0.267,0.2,0.2,0.067,0.6,0.467,0.133,0.4,0.933,0.267,0.533,0.0,0.467,0.0,0.533,J
0.133,0.2,0.133,0.133,0.067,0.467,0.467,0.467,0.267,0.467,0.4,0.533,0.133,0.533,0.133,0.467,O
0.2,0.2,0.2,0.267,0.133,0.4,0.6,0.6,0.267,0.467,0.333,0.467,0.2,0.467,0.4,0.733,R
0.4,0.933,0.333,0.533,0.333,0.6,0.4,0.267,0.4,0.733,0.333,0.467,0.267,0.533,0.6,0.667,Q
0.267,0.667,0.333,0.533,0.4,0.467,0.4,0.667,0.067,0.467,0.533,0.533,0.467,0.333,0.0,0.533,M
0.267,0.667,0.4,0.533,0.333,0.267,0.667,0.2,0.4,0.733,0.667,0.4,0.2,0.667,0.2,0.467,P
0.333,0.733,0.533,0.533,0.4,0.267,0.733,0.133,0.2,0.533,0.6,0.6,0.6,0.733,0.067,0.533,W
0.133,0.267,0.267,0.2,0.133,0.533,0.467,0.133,0.4,0.933,0.333,0.533,0.133,0.533,0.067,0.533,J
0.133,0.467,0.267,0.333,0.133,0.467,0.733,0.133,0.2,0.4,0.733,0.6,0.133,0.667,0.067,0.533,V
0.4,0.4,0.4,0.533,0.333,0.4,0.4,0.6,0.467,0.4,0.4,0.467,0.133,0.533,0.667,0.667,B
0.333,0.6,0.467,0.467,0.333,0.467,0.467,0.533,0.4,0.467,0.4,0.867,0.267,0.533,0.333,0.467,C
0.2,0.533,0.267,0.333,0.067,0.667,1.0,0.067,0.4,0.267,0.733,0.6,0.0,0.533,0.0,0.533,T
0.267,0.533,0.4,0.4,0.333,0.467,0.467,0.533,0.267,0.467,0.333,0.533,0.2,0.533,0.2,0.533,O
0.2,0.467,0.267,0.333,0.2,0.533,0.467,0.467,0.467,0.533,0.4,0.467,0.133,0.533,0.6,0.533,S
0.133,0.267,0.267,0.133,0.133,0.533,0.467,0.267,0.4,0.667,0.333,0.4,0.133,0.533,0.2,0.533,D
0.267,0.267,0.333,0.2,0.133,0.267,0.533,0.333,0.467,0.733,0.667,0.6,0.2,0.6,0.133,0.4,U
0.333,0.733,0.4,0.533,0.133,0.333,0.467,0.467,0.667,0.467,0.4,0.933,0.067,0.533,0.267,0.6,C
0.2,0.467,0.333,0.267,0.333,0.533,0.467,0.333,0.067,0.467,0.4,0.533,0.533,0.533,0.267,0.6,O
0.267,0.6,0.333,0.467,0.133,0.2,0.4,0.533,0.2,0.467,0.467,0.733,0.267,0.533,0.2,0.667,K
0.267,0.467,0.4,0.6,0.333,0.667,0.733,0.2,0.133,0.467,0.533,0.533,0.2,0.733,0.467,0.667,H
0.2,0.333,0.333,0.467,0.133,0.533,0.533,0.267,0.2,0.467,0.933,0.533,0.2,0.6,0.0,0.533,V
0.133,0.4,0.267,0.267,0.067,0.4,0.533,0.267,0.133,0.533,0.867,0.533,0.2,0.667,0.0,0.533,V
0.333,0.4,0.467,0.4,0.4,0.467,0.6,0.333,0.533,0.467,0.467,0.467,0.2,0.733,0.467,0.467,T
0.067,0.0,0.067,0.0,0.0,0.133,0.133,0.333,0.267,0.067,0.133,0.4,0.0,0.533,0.0,0.533,L
0.267,0.6,0.4,0.4,0.267,0.467,0.533,0.133,0.667,0.8,0.467,0.533,0.067,0.6,0.4,0.533,Z
0.2,0.4,0.2,0.267,0.2,0.4,0.6,0.533,0.267,0.467,0.333,0.533,0.133,0.467,0.267,0.733,R
0.2,0.467,0.267,0.333,0.267,0.467,0.4,0.4,0.267,0.467,0.467,0.733,0.4,0.333,0.067,0.667,M
0.2,0.4,0.267,0.333,0.2,0.533,0.533,0.467,0.333,0.4,0.4,0.6,0.133,0.533,0.267,0.533,Q
0.2,0.467,0.267,0.333,0.2,0.533,0.467,0.133,0.333,0.4,0.4,0.467,0.133,0.533,0.533,0.6,X
0.0,0.067,0.0,0.067,0.0,0.467,0.467,0.267,0.267,0.467,0.4,0.533,0.0,0.533,0.0,0.533,I
0.133,0.267,0.2,0.2,0.133,0.4,0.467,0.333,0.333,0.6,0.467,0.667,0.133,0.533,0.267,0.667,G
0.333,0.6,0.4,0.467,0.267,0.267,0.467,0.333,0.467,0.667,0.6,0.933,0.267,0.6,0.333,0.467,C
0.467,0.867,0.467,0.533,0.333,0.667,0.333,0.133,0.333,0.6,0.267,0.533,0.4,0.533,0.4,0.6,R
0.2,0.4,0.267,0.267,0.2,0.467,0.4,0.4,0.4,0.4,0.4,0.667,0.133,0.6,0.267,0.533,G
0.2,0.267,0.267,0.4,0.133,0.467,0.4,1.0,0.133,0.467,0.533,0.533,0.2,0.533,0.0,0.533,H
0.4,0.6,0.533,0.533,0.733,0.467,0.467,0.267,0.267,0.4,0.4,0.533,0.733,0.533,0.333,0.333,M
0.267,0.533,0.4,0.333,0.267,0.267,0.6,0.2,0.2,0.6,0.6,0.6,0.4,0.467,0.067,0.467,N
0.267,0.533,0.267,0.4,0.2,0.467,0.467,0.267,0.267,0.467,0.4,0.533,0.2,0.533,0.267,0.533,X
0.267,0.667,0.267,0.533,0.067,0.0,0.067,0.333,0.4,0.0,0.0,0.4,0.0,0.533,0.0,0.533,L
0.267,0.533,0.333,0.4,0.4,0.533,0.333,0.267,0.267,0.533,0.4,0.667,0.267,0.533,0.533,0.667,S
0.333,0.333,0.467,0.267,0.467,0.6,0.533,0.267,0.267,0.467,0.4,0.467,0.533,0.4,0.4,0.333,M
0.267,0.667,0.267,0.533,0.067,0.0,0.067,0.4,0.4,0.0,0.0,0.4,0.0,0.533,0.0,0.533,L
0.2,0.533,0.4,0.4,0.2,0.733,0.133,0.133,0.133,0.6,0.133,0.6,0.2,0.467,0.2,0.6,A
0.333,0.733,0.267,0.533,0.2,0.6,0.533,0.133,0.267,0.8,0.267,0.333,0.133,0.6,0.467,0.6,J
0.2,0.2,0.267,0.267,0.133,0.467,0.533,0.267,0.067,0.467,0.533,0.533,0.533,0.667,0.0,0.533,W
0.667,1.0,0.6,0.533,0.4,0.533,0.6,0.267,0.267,0.8,0.267,0.2,0.333,0.667,0.4,0.4,P
0.4,0.733,0.4,0.533,0.267,0.4,0.467,0.733,0.733,0.4,0.333,0.4,0.2,0.533,0.267,0.533,D
0.2,0.533,0.333,0.4,0.133,0.467,0.333,0.2,0.067,0.467,0.0,0.533,0.133,0.467,0.133,0.533,A
0.2,0.267,0.267,0.4,0.133,0.533,0.467,0.4,0.6,0.267,0.4,0.467,0.0,0.533,0.6,0.533,S
0.133,0.467,0.267,0.333,0.133,0.6,0.2,0.133,0.133,0.533,0.067,0.533,0.133,0.4,0.2,0.533,A
0.133,0.067,0.2,0.067,0.067,0.467,0.733,0.2,0.333,0.467,0.667,0.533,0.133,0.733,0.067,0.533,T
0.467,0.733,0.6,0.533,0.6,0.467,0.4,0.533,0.267,0.467,0.333,0.533,0.333,0.533,0.733,0.133,A
0.2,0.4,0.2,0.267,0.2,0.467,0.533,0.467,0.267,0.6,0.467,0.667,0.2,0.533,0.133,0.6,O
0.133,0.067,0.2,0.133,0.067,0.467,0.467,0.467,0.4,0.467,0.4,0.533,0.133,0.533,0.2,0.533,O
